CODEILE;BAGUEUR;LIEUDIT;BG;SG;ESPECE;ACTION;CONDREPR;CIRCREPR;BAGUE;DATE;HEURE;SEXE;AGE;COLONIE;SECTEUR;TERRIER;BP;EB;LT;MA;NATURE;RMQTERRIER;PERIODEJN;THEME;CENTRE;PAYS;DEPT;LOCALITE;STADE;LP;MEMO;PRIMAIRE;SECONDAIRE;RECTRICE;COUV;COUD;RG;PL;PR;ASG;CHAMP1;CHAMP2;CHAMP3;CHAMP4;MESURE1;MESURE2;MESURE3;MESURE4
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT85278;13/07/1983;;;;;;;;;;;;;nuit;PROG PERS;FRP;FR;83;HYERES;pull;;;;;;;;;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT85294;25/02/1984;;;;;;;;;;;;;nuit;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT85293;25/02/1984;;;;;;;;;;;;;nuit;PROG PERS;FRP;FR;83;HYERES;+1A;;;;;;;;;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS21122;08/07/1991;;;;;;;;;;;;;nuit;PROG PERS;FRP;FR;83;HYERES;pull;;;;;;;;;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT85266;01/02/1992;;;;;;;;;;;;;nuit;PROG PERS;FRP;FR;83;HYERES;ad;;Colonne action renseigne en 2015;;;;;;;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT85267;28/02/1992;;;;;;;;;;;;;nuit;PROG PERS;FRP;FR;83;HYERES;ad;;Colonne action renseigne en 2016;;;;;;;;;;;;;;;;;
FSHY002;GILLET, Pascal;PORT-CROS;LEGRAND, Jerome;;PUFYEL;B;;0;FS21140;29/02/1992;;;;;;;;;;;;;nuit;PROG PERS;FRP;FR;83;HYERES;ad;;Colonne action renseigne en 2017;;;;;;;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT85318;22/05/1992;;;;;;;;;;;;;nuit;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;;;;;;;;;;;;
FSHY002;GILLET, Pasal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT85342;03/07/1992;;;;;;;;;;;;;nuit;PROG PERS;FRP;FR;83;HYERES;pull;;;;;;;;;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT85343;03/07/1992;;;;;;;;;;;;;nuit;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros; ;;PUFYEL;C;;0;FS21122;13/12/1993;;;;;;;;;;;;;nuit;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;R;;0;FS21122;18/01/1998;;;;;;;;;;;;;jour;PROG PERS;FRP;FR;83;HYERES;ad;;congelateur du PNPC;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;R;;0;FS21140;13/02/2002;;;;;;;;;;;;;jour;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT85267;17/02/2004;;M;;PCy1;C;55;;;52,4;380;;;nuit;PROG PERS;FRP;FR;83;HYERES;ad;242;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67701;02/06/2004;23H00;F;;PC7;A;3;;;48,4;445;;;;PROG PERS;FRP;FR;83;HYERES;ad;237;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67702;02/06/2004;23H15;M;;PC7;A;1;;;47,75;410;;;;PROG PERS;FRP;FR;83;HYERES;ad;237;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67710;15/06/2004;22H42;M;;PC1;A;6;;;48,1;415;;;;PROG PERS;FRP;FR;83;HYERES;ad;236;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67709;16/06/2004;22H45;M;;PC7;A;4;;;48,4;520;;;;PROG PERS;FRP;FR;83;HYERES;ad;247,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67711;16/06/2004;23H38;M;;PC7;A;2;;;48,95;450;;;;PROG PERS;FRP;FR;83;HYERES;ad;244,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67712;17/06/2004;23H35;F;;PC1;A;6;;;45,6;455;;;;PROG PERS;FRP;FR;83;HYERES;ad;245;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67713;22/06/2004;01H31;M;;PC7;A;3;;;45,8;425;;;;PROG PERS;FRP;FR;83;HYERES;ad;243;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67714;23/06/2004;00H49;F;;PC7;A;1;;;50,4;495;;;;PROG PERS;FRP;FR;83;HYERES;ad;240,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FT67715;23/06/2004;01H45;F;;PC7;A;2;;;48,3;415;;;;PROG PERS;FRP;FR;83;HYERES;ad;239;;;;;;;1;;;;;;;;;;;
